id_test_case,algoritma,resolusi,kategori_jarak,start_hex,goal_hex,hops,jarak_meter,referensi_meter,waktu_microsec,nodes_expanded,nodes_generated,status,path_hex_ids
1,BFS,9,short,898d8c78307ffff,898d8c7822fffff,6,2093.3352,1861.0100,26,54,68,Success,[paths/res9/tc1_BFS.csv]
1,DFS,9,short,898d8c78307ffff,898d8c7822fffff,24,8076.5240,1861.0100,9,29,53,Success,[paths/res9/tc1_DFS.csv]
1,GLS,9,short,898d8c78307ffff,898d8c7822fffff,6,2093.3352,1861.0100,10,7,25,Success,[paths/res9/tc1_GLS.csv]
1,UCS,9,short,898d8c78307ffff,898d8c7822fffff,6,2093.3449,1861.0100,22,55,71,Success,[paths/res9/tc1_UCS.csv]
1,GBFS,9,short,898d8c78307ffff,898d8c7822fffff,6,2093.3352,1861.0100,9,7,17,Success,[paths/res9/tc1_GBFS.csv]
1,A*,9,short,898d8c78307ffff,898d8c7822fffff,6,2093.3352,1861.0100,18,10,20,Success,[paths/res9/tc1_A*.csv]
1,Theta*,9,short,898d8c78307ffff,898d8c7822fffff,1,1875.5566,1861.0100,139,7,19,Success,[paths/res9/tc1_Theta*.csv]
2,DFS,9,short,898d8c6ad93ffff,898d8c61063ffff,95,31805.8531,2560.1400,73,2492,2625,Success,[paths/res9/tc2_DFS.csv]
2,GLS,9,short,898d8c6ad93ffff,898d8c61063ffff,9,3004.2166,2560.1400,12,10,46,Success,[paths/res9/tc2_GLS.csv]
2,UCS,9,short,898d8c6ad93ffff,898d8c61063ffff,9,3004.2098,2560.1400,63,238,276,Success,[paths/res9/tc2_UCS.csv]
2,GBFS,9,short,898d8c6ad93ffff,898d8c61063ffff,9,3004.2166,2560.1400,12,10,30,Success,[paths/res9/tc2_GBFS.csv]
2,A*,9,short,898d8c6ad93ffff,898d8c61063ffff,9,3004.2166,2560.1400,55,25,46,Success,[paths/res9/tc2_A*.csv]
2,Theta*,9,short,898d8c6ad93ffff,898d8c61063ffff,1,2710.6779,2560.1400,155,10,30,Success,[paths/res9/tc2_Theta*.csv]
2,BFS,9,short,898d8c6ad93ffff,898d8c61063ffff,9,3004.2415,2560.1400,15,215,253,Success,[paths/res9/tc2_BFS.csv]
